index,City,AccentCity,Population,Latitude,Longitude,CountryLong,Latitude(average),Longitude(average)
10291,remedios,Remedios,6415.0,7.030833,-74.533333,colombia,4.0,-72.0
10292,salgar,Salgar,6429.0,5.965025,-75.965407,colombia,4.0,-72.0
10293,momil,Momil,6441.0,9.237675,-75.67488900000001,colombia,4.0,-72.0
10294,san luis,San Luis,6448.0,6.041667,-74.992778,colombia,4.0,-72.0
10295,caloto,Caloto,6479.0,3.035863,-76.407883,colombia,4.0,-72.0
10296,san sebastian,San Sebastian,6520.0,9.242169,-74.50036899999999,colombia,4.0,-72.0
10297,san sebastian,San Sebastián,6520.0,9.237779,-74.351658,colombia,4.0,-72.0
10298,san pablo,San Pablo,6522.0,1.67145,-77.014082,colombia,4.0,-72.0
10299,cordoba,Córdoba,6597.0,9.586119,-74.827054,colombia,4.0,-72.0
10300,cordoba,Córdoba,6597.0,9.633333,-74.783333,colombia,4.0,-72.0
10301,concordia,Concordia,6625.0,9.835452,-74.455478,colombia,4.0,-72.0
10302,simiti,Simití,6670.0,7.9579,-73.9436,colombia,4.0,-72.0
10303,nechi,Nechí,6694.0,8.094189,-74.775733,colombia,4.0,-72.0
10304,pupiales,Pupiales,6760.0,0.87136,-77.64026899999999,colombia,4.0,-72.0
10305,la gloria,La Gloria,6810.0,8.618675999999999,-73.802654,colombia,4.0,-72.0
10306,santuario,Santuario,6815.0,5.072367,-75.96340699999999,colombia,4.0,-72.0
10307,filandia,Filandia,6851.0,4.674722,-75.658333,colombia,4.0,-72.0
10308,ortega,Ortega,6871.0,3.936105,-75.221692,colombia,4.0,-72.0
10309,santa rosa de viterbo,Santa Rosa de Viterbo,6924.0,5.874008,-72.982166,colombia,4.0,-72.0
10310,apia,Apía,6940.0,5.10645,-75.943177,colombia,4.0,-72.0
10311,rovira,Rovira,6950.0,4.239221,-75.239963,colombia,4.0,-72.0
10312,rio viejo,Río Viejo,6963.0,8.587399000000001,-73.839013,colombia,4.0,-72.0
10313,villagarzon,Villagarzon,7015.0,1.029049,-76.62021999999999,colombia,4.0,-72.0
10314,san martin,San Martín,7029.0,8.001510000000001,-73.511263,colombia,4.0,-72.0
10315,mani,Maní,7031.0,4.817222,-72.288611,colombia,4.0,-72.0
10316,purisima,Purísima,7043.0,9.23657,-75.721905,colombia,4.0,-72.0
10317,cerro san antonio,Cerro San Antonio,7058.0,10.325853,-74.869331,colombia,4.0,-72.0
10318,guateque,Guateque,7069.0,5.006189,-73.472736,colombia,4.0,-72.0
10319,genova,Génova,7140.0,4.316667,-75.766667,colombia,4.0,-72.0
10320,riosucio,Riosucio,7163.0,7.44027,-77.1167,colombia,4.0,-72.0
10321,san miguel,San Miguel,7186.0,0.343144,-76.911243,colombia,4.0,-72.0
10322,san rafael,San Rafael,7245.0,6.294359,-75.025892,colombia,4.0,-72.0
10323,el tambo,El Tambo,7279.0,1.418142,-77.396784,colombia,4.0,-72.0
10324,obando,Obando,7298.0,4.575833,-75.973889,colombia,4.0,-72.0
10325,inirida,Inírida,7299.0,3.865278,-67.923889,colombia,4.0,-72.0
10326,gamarra,Gamarra,7327.0,8.322792999999999,-73.742684,colombia,4.0,-72.0
10327,abejorral,Abejorral,7360.0,5.789281,-75.427252,colombia,4.0,-72.0
10328,silvia,Silvia,7474.0,2.6110290000000003,-76.37853299999999,colombia,4.0,-72.0
10329,el pinon,El Piñón,7481.0,10.402827,-74.82415300000001,colombia,4.0,-72.0
10330,restrepo,Restrepo,7511.0,4.258334,-73.561423,colombia,4.0,-72.0
10331,yondo,Yondó,7516.0,7.006208,-73.909717,colombia,4.0,-72.0
10332,uribia,Uribia,7519.0,11.713897,-72.266035,colombia,4.0,-72.0
10333,cumbal,Cumbal,7529.0,0.90875,-77.791451,colombia,4.0,-72.0
10334,cartagena del chaira,Cartagena del Chairá,7586.0,1.334884,-74.842886,colombia,4.0,-72.0
10335,choconta,Chocontá,7592.0,5.14468,-73.68578199999999,colombia,4.0,-72.0
10336,cota,Cota,7615.0,4.809384,-74.098001,colombia,4.0,-72.0
10337,el paujil,El Paujil,7619.0,1.57006,-75.328629,colombia,4.0,-72.0
10338,san bernardo,San Bernardo,7625.0,4.178642,-74.423112,colombia,4.0,-72.0
10339,barbacoas,Barbacoas,7634.0,1.671536,-78.139782,colombia,4.0,-72.0
10340,cicuco,Cicuco,7662.0,9.263056,-74.656944,colombia,4.0,-72.0
10341,penol,Peñol,7698.0,6.218293,-75.24298,colombia,4.0,-72.0
10342,san carlos,San Carlos,7742.0,6.18789,-74.993149,colombia,4.0,-72.0
10343,jardin,Jardín,7747.0,5.599018,-75.819758,colombia,4.0,-72.0
10344,jerico,Jericó,7750.0,5.792106,-75.786012,colombia,4.0,-72.0
10345,monterrey,Monterrey,7759.0,4.872057,-72.898791,colombia,4.0,-72.0
10346,samana,Samana,7781.0,5.412580999999999,-74.992189,colombia,4.0,-72.0
10347,palestina,Palestina,7865.0,5.019405,-75.622424,colombia,4.0,-72.0
10348,sardinata,Sardinata,7872.0,8.082888,-72.80070699999999,colombia,4.0,-72.0
10349,retiro,Retiro,7941.0,6.058611,-75.503056,colombia,4.0,-72.0
10350,el dovio,El Dovio,7943.0,4.5079,-76.236193,colombia,4.0,-72.0
10351,caqueza,Cáqueza,7958.0,4.405687,-73.946828,colombia,4.0,-72.0
10352,aipe,Aipe,7964.0,3.222222,-75.23666700000001,colombia,4.0,-72.0
10353,muzo,Muzo,7977.0,5.535278,-74.107778,colombia,4.0,-72.0
10354,san diego,San Diego,8014.0,10.334271,-73.18004499999999,colombia,4.0,-72.0
